,index,Review,sentiment
112,260,Only had this a month but it's worked flawlessly so far.,1
113,261,Works great.,1
114,264,Battery life is real good.,1
115,266,It's a great item.,1
116,268,Love this headset!,1
117,270,Worked perfectly!,1
118,272,I gave it 5 stars because of the sound quality.,1
119,274,Reversible plug works great.,1
120,276,Very good phone.,1
121,278,Comfort for our whole family.,1
122,280,I love this bluetooth!,1
123,282,I am very impressed with this headset from Plantronics.,1
124,283,I got it because it was so small and adorable.,1
125,284,Great phone!.,1
126,289,Great Phone.,1
127,291,Excellent Phone.,1
128,293,The voice recognition thru the handset is excellent.,1
129,294,This is hands down the best phone I've ever had.,1
130,296,This one works and was priced right.,1
131,300,Now I know that I made a wise decision.,1
132,301,Someone shouldve invented this sooner.,1
133,302,Good price.,1
134,303,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
135,304,I received it quickly and it works great!!,1
136,305,Has been working great.,1
137,311,Also its slim enough to fit into my alarm clock docking station without removing the case.,1
138,312,Phone now holds charge like it did when it was new.,1
139,315,We have gotten a lot of compliments on it.,1
140,316,This is definitely a must have if your state does not allow cell phone usage while driving.,1
141,318,I love this device.,1
142,319,I am also very happy with the price.,1
143,322,I was able to do voice dialing in the car with no problem.,1
144,329,VERY comfortable.,1
145,330,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
146,331,The reception is excellent!,1
147,339,Excellent sound quality.,1
148,342,New Battery works great in phone.,1
149,346,Good audio quality.,1
150,347,This little device has transformed my organizational capability and made my life a whole lot easier.,1
151,350,Works like a charm.. Works as advertised.,1
152,359,Nice design and quality.,1
153,363,It definitely was not as good as my S11.,1
154,364,awesome device.,1
155,367,Love This Phone.,1
156,368,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
157,370,Display is excellent and camera is as good as any from that year.,1
158,371,Battery life is also great!,1
159,375,Protects the phone on all sides.,1
160,379,Great Hands Free Device.,1
161,382,After trying many many handsfree gadgets this is the one that finally works well.,1
162,383,Magical Help.,1
163,386,The best phone in market :).,1
164,387,It worked very well.,1
165,388,The company shipped my product very promptly and it works well.,1
166,389,Exactly what I wanted.,1
167,391,This is a great deal.,1
168,393,I highly recommend these and encourage people to give them a try.,1
169,394,Better than you'd expect.,1
170,396,Great product and price.,1
171,400,Very prompt service.,1
172,401,Excellent product for the price.,1
173,402,Very pleased with this headset.,1
174,404,I especially love the long battery life.,1
175,406,Works great.,1
176,407,Plantronics Bluetooth Excelent Buy.,1
177,410,I highly recommend this device to everyone!,1
178,411,Jawbone Era is awesome too!,1
179,415,An Awesome New Look For Fall 2000!.,1
180,419,Price is good too.,1
181,422,I'm using it with an iriver SPINN (with case) and it fits fine.,1
182,427,IT'S REALLY EASY.,1
183,428,My Sanyo has survived dozens of drops on blacktop without ill effect.,1
184,429,Fantastic earphones.,1
185,430,It finds my cell phone right away when I enter the car.,1
186,432,I highly recommend this modest priced cellular phone.,1
187,433,But it does get better reception and clarity than any phone I've had before.,1
188,436,Awsome Device Works Great!!.,1
189,442,Restored my phone to like new performance.,1
190,446,Very happy with this product.,1
191,450,Portable and it works.,1
192,455,Timely shipment and quality product.,1
193,456,Nice solid keyboard.,1
194,457,Very well made and fits my Surefire GX2 perfectly.,1
195,460,We would recommend these to others.,1
196,464,The battery works great!,1
197,468,"Looks great and is strong.""",1
198,472,Great software for Motorolas.,1
199,473,The delivery was on time.,1
200,474,Very easy to use.,1
201,479,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
202,482,You won't regret it!,1
203,483,I love this phone!.,1
204,489,This PDA rocks.,1
205,492,I had Verizon 2 years ago and really liked their service.,1
206,495,Works as described.,1
207,498,WELL IM SATISFIED.,1
208,500,This battery is an excellent bargain!,1
209,503,I wear glasses and it fits fine with them.,1
210,507,great...no problems at all!.,1
211,509,This frog phone charm is adorable and very eye catching.,1
212,511,The sound is clear and the people I talk to on it are amazed at the quality too.,1
213,512,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
214,514,Mobile Phone Tools are a must have.,1
215,515,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
216,517,The phone is sturdy and waterproof.,1
217,520,Thanks again to Amazon for having the things I need for a good price!,1
218,521,I ended up sliding it on the edge of my pants or back pockets instead.,1
219,522,I had to go to a store and bought a new NOKIA phone which is working great.,1
220,523,Works great!.,1
221,526,The noise shield is incrediable.,1
222,528,Razr Battery - Good buy.,1
223,529,Keep up the good work Amazon!!,1
224,533,Great case and price!,1
225,537,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
226,539,I am glad I purchased it.,1
227,550,Thank you for such great service.,1
228,551,Its a total package.,1
229,555,Great product for the price!.,1
230,557,Virgin Wireless rocks and so does this cheap little phone!,1
231,567,Great Product.,1
232,570,This fixes all the problems.,1
233,572,I am very happy,1
234,577,It does everything the description said it would.,1
235,583,Better than expected.,1
236,585,Battery is holding up well.,1
237,590,Linked to my phone without effort.,1
238,591,THey are so cool!,1
239,592,Easy to use.,1
240,593,Better Than New.,1
241,596,A pretty good product.,1
242,597,This is a great phone!.,1
243,599,Their Research and Development division obviously knows what they're doing.,1
244,601,Those phones are working just fine now.,1
245,602,I am more than happy with this product.,1
246,608,It fits my ear well and is comfortable on.,1
247,610,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
248,611,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
249,612,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
250,618,Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1
251,621,This is a great product..... sure beats using your fingers!.,1
252,623,All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1
253,628,I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
254,631,I did not have any problem with this item and would order it again if needed.,1
255,634,im surprised this is a good quality car charger and there's not much reviews about it.,1
256,635,These are fabulous!,1
257,637,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
258,640,Very wind-resistant.,1
259,645,Phone is sturdy as all nokia bar phones are.,1
260,646,Great phone.,1
261,648,I'm pleased.,1
262,650,I found the product to be easy to set up and use.,1
263,660,I'm happy about this purchase- good quality and low price.,1
264,661,I love the look and feel of Samsung flipphones.,1
265,662,Its well-designed and very sharp -- the blue is a very nice color.,1
266,663,Does everything it should and more.,1
267,665,Nice Sound.,1
268,667,Much less than the jawbone I was going to replace it with.,1
269,668,Setup went very smoothly.,1
270,678,The volume for the ringer is REAL good (you have choices how loud).,1
271,682,I love the ringtones because they are so upbeat!,1
272,684,Easy to pair with my Samsung Cell.,1
273,688,Works well.,1
274,690,Clear crisp sound.,1
275,695,The phone can also take great pictures and even video clips.,1
276,700,You can't beat the price on these.,1
277,702,lightweight and works well.,1
278,704,I love this cable - it allows me to connect any mini-USB device to my PC.,1
279,706,This is cool because most cases are just open there allowing the screen to get all scratched up.,1
280,708,Appears to actually outperform the original battery from China that came with my V325i.,1
281,712,"jabra ear gels ""R"" the best!.",1
282,717,It was a great phone.,1
283,720,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
284,721,This is simply the BEST bluetooth headset for sound quality!,1
285,724,I have always used corded headsets and the freedom from the wireless is very helpful.,1
286,727,It has everything I need and I couldn't ask for more.,1
287,729,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1
288,731,T-Mobile has the best customer service anywhere.,1
289,732,Arrived quickly and much less expensive than others being sold.,1
290,735,Krussel Always good.,1
291,737,The design is very good.4.,1
292,738,I great reception all the time.,1
293,739,I would highly recommend this product.,1
294,744,Fantastic buy and will get again for whatever my next phone is,1
295,746,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1
296,748,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1
297,751,Blue Ant is easy to use.,1
298,752,Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
299,755,It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
300,757,The sound quality is excellent as well.,1
301,758,Its the best headset I have used.,1
302,760,They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
303,761,Just what I wanted.,1
304,767,Great product.,1
305,768,Crisp and Clear.,1
306,772,The reception has been generally good.,1
307,774,Great bluetooth!.,1
308,775,I highly recommend this case.,1
309,776,WORTHWHILE.,1
310,777,This is a great deal.,1
311,786,It is simple to use and I like it.,1
312,790,I own 2 of these cases and would order another.,1
313,791,Great Phone.,1
314,792,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
315,794,Perfect for the PS3.,1
316,796,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1
317,800,For the price this was a great deal.,1
318,803,Yes it's shiny on front side - and I love it!,1
319,806,The reception through this headset is excellent.,1
320,807,2 thumbs up to this seller,1
321,810,#1 It Works - #2 It is Comfortable.,1
322,811,Battery charge-life is quite long.,1
323,812,The Jabra EarGels fit my ears very well.,1
324,815,Product is exactly as described.,1
325,816,Gets a signal when other Verizon phones won't.,1
326,818,I would recommend it.,1
327,819,Plan on ordering from them again and again.,1
328,821,I have been very satisfied with this cell phone from day one.,1
329,822,They keep getting better and better (this is my third one and I've had numerous Palms too).,1
330,824,The shipping time was also very quick!,1
331,826,Good case!.,1
332,828,Really good product.,1
333,849,It looks very nice.,1
334,851,I have read other's reviews here but I haven't had any problem with it.,1
335,853,Comfortable in my hand.,1
336,856,(It works!),1
337,861,So far it has worked like a charm.,1
338,864,Would recommend this item.,1
339,869,Works fine.,1
340,870,I received my headset in good time and was happy with it.,1
341,871,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1
342,872,My sister has one also and she loves it.,1
343,873,Good Quality.,1
344,875,Excellent dual-purpose headset.,1
345,876,Excellent!.,1
346,881,The only good thing was that it fits comfortably on small ears.,1
347,886,Best headset ever!!!.,1
348,888,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1
349,891,Excellent product for the price.,1
350,894,It was quite comfortable in the ear.,1
351,895,Great phone.,1
352,898,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1
353,901,The cutouts and buttons are placed perfectly.,1
354,902,I love being able to use one headset for both by land-line and cell.,1
355,908,Seller shipped quickly and much cheaper than the competitors.,1
356,910,So I bought about 10 of these and saved alot of money.,1
357,916,Leopard Print is wonderfully wild!.,1
358,917,Works for me.,1
359,919,much better than the hard plastic cases.,1
360,921,Happy so far!.,1
361,922,cool phone.,1
362,923,Works good.,1
363,924,Motorola finally got the voice quality of a bluetooth headset right.,1
364,933,"You get extra minutes so that you can carry out the call and not get cut off.""",1
365,936,The headset fulfills my requirements so I am happy with my purchase.,1
366,937,Logitech Bluetooth Headset is a 10!.,1
367,939,A lot of websites have been rating this a very good phone and so do I.,1
368,940,I have tried these cables with my computer and my iPod and it works just fine.,1
369,944,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1
370,945,I have had mine for about a year and this Christmas I bought some for the rest of the family.,1
371,947,nice leather.,1
372,949,It is a joy to use.,1
373,951,Very satisifed with that.,1
374,953,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1
375,955,Just reading on the specs alone makes you say WOW.,1
376,956,Love it.. Great armband.,1
377,957,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1
378,959,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1
379,960,I was very impressed with the price of the cases.,1
380,961,Also makes it easier to hold on to.,1
381,963,It's pretty easy.,1
382,966,Beautiful styling though.,1
383,970,Excellent product.,1
384,974,It is the best charger I have seen on the market yet.,1
385,975,SWEETEST PHONE!!!,1
386,977,It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1
387,2,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
388,4,I have to jiggle the plug to get it to line up right to get decent volume.,0
389,8,What a waste of money and time!.,0
390,11,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0
391,15,I advise EVERYONE DO NOT BE FOOLED!,0
392,18,It clicks into place in a way that makes you wonder how long that mechanism would last.,0
393,21,The commercials are the most misleading.,0
394,23,I bought it for my mother and she had a problem with the battery.,0
395,26,I didn't think that the instructions provided were helpful to me.,0
396,27,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0
397,28,Doesn't hold charge.,0
398,31,It is unusable in a moving car at freeway speed.,0
399,32,I have two more years left in this contract and I hate this phone.,0
400,34,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0
401,36,Poor Talk Time Performance.,0
402,38,worthless product.,0
403,40,I was not impressed by this product.,0
404,42,I only hear garbage for audio.,0
405,45,Who in their right mind is gonna buy this battery?.,0
406,46,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0
407,48,Disappointed with battery.,0
408,49,Not loud enough and doesn't turn on like it should.,0
409,55,VERY DISAPPOINTED.,0
410,58,The buttons for on and off are bad.,0
411,59,Essentially you can forget Microsoft's tech support.,0
412,62,Buy a different phone - but not this.,0
413,63,You have to hold the phone at a particular angle for the other party to hear you clearly.,0
414,64,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
415,69,Mic Doesn't work.,0
416,75,Do Not Buy for D807...wrongly advertised for D807.,0
417,78,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
418,80,Not a good bargain.,0
419,82,The battery runs down quickly.,0
420,86,The construction of the headsets is poor.,0
421,92,The ear buds only play music in one ear.,0
422,93,Dont waste your money...,0
423,95,If you plan to use this in a car forget about it.,0
424,96,I found this product to be waaay too big.,0
425,98,I'm very disappointed with my decision.,0
426,103,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
427,108,I purcashed this for the car charger and it does not work.,0
428,115,i got this phone around the end of may and i'm completely unhappy with it.,0
429,120,Could not get strong enough signal.,0
430,122,Bad Quality.,0
431,125,Basically the service was very bad.,0
432,126,it did not work in my cell phone plug i am very up set with the charger!.,0
433,128,The BT headset was such a disapoinment.,0
434,133,Buyer--Be Very Careful!!!!!.,0
435,134,The majority of the Logitech earbud headsets failed.,0
436,137,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
437,139,What a waste.,0
438,141,I was not happy with this item.,0
439,142,very disappointed.,0
440,143,The phone takes FOREVER to charge like 2 to 5 hours literally.,0
441,145,What a waste of time!,0
442,146,Its reception is very very poor.,0
443,147,Items stated as included from the description ARE NOT INCLUDED.,0
444,149,I Was Hoping for More.,0
445,153,I've bought $5 wired headphones that sound better than these.,0
446,161,This is essentially a communications tool that does not communicate.,0
447,165,Doesn't work at all.. I bougth it for my L7c and its not working.,0
448,167,doesn't last long.,0
449,168,One thing I hate is the mode set button at the side.,0
450,170,Thank you for wasting my money.,0
451,171,How can that be?The audio quality is poor.,0
452,177,It only recognizes the Phone as its storage device.,0
453,179,Don't buy this product.,0
454,180,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
455,183,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
456,185,Design Flaw?.,0
457,187,Waste of 13 bucks.,0
458,189,The replacement died in a few weeks.,0
459,192,I have had problems wit hit dropping signal and more.,0
460,193,Not impressed.,0
461,196,Bad Choice.,0
462,197,The pleather case doesn't fit.,0
463,201,It makes very strange ticking noises before it ends the call.,0
464,203,Battery lasts only a few hours.,0
465,208,We are sending it back.,0
466,209,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
467,217,WORST PHONE EVER.,0
468,219,Freezes frequently4.,0
469,220,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
470,223,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0
471,226,I'm a bit disappointed.,0
472,228,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
473,229,The battery is completely useless to me.,0
474,230,What a big waste of time.,0
475,231,Don't waste your $$$ on this one.,0
476,238,Do not make the same mistake as me.,0
477,239,Big Disappointment with calendar sync.,0
478,240,the phone was unusable and was not new.,0
479,241,Worst Customer Service Ever.,0
480,243,It defeats the purpose of a bluetooth headset.,0
481,247,Internet is excrutiatingly slow.,0
482,253,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
483,254,poor quality and service.,0
484,262,Absolutel junk.,0
485,263,THAT one didn't work either.,0
486,265,Returned 8 hours later.,0
487,267,Don't waste your money!.,0
488,271,Unreliable - I'm giving up.,0
489,273,Avoid this one if you can.,0
490,275,I wasted my little money with this earpiece.,0
491,285,I wouldn't recommend buying this product.,0
492,286,Piece of Junk.,0
493,287,Poorly contstruct hinge.,0
494,290,Don't buy it.,0
495,292,DO NOT PURCHASE THIS PHONE.,0
496,297,Customer service was terrible.,0
497,298,Battery life still not long enough in Motorola Razor V3i.,0
498,299,Sending it back.,0
499,307,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
500,308,They do not care about the consumer one bit.,0
501,310,The instruction manual is lacking.,0
502,313,The battery is unreliable as well as the service use antena.,0
503,314,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0
504,317,I want my money back.,0
505,320,I ordered this product first and was unhappy with it immediately.,0
506,321,The Ngage is still lacking in earbuds.,0
507,326,The plug did not work very well.,0
508,327,AMAZON SUCKS.,0
509,328,Rip off---- Over charge shipping.,0
510,334,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
511,335,Obviously there is a problem with the adhesive.,0
512,336,Very disappointing.,0
513,338,It is practically useless and did not add any kind of boost to my reception after I bought it.,0
514,340,Was not happy.,0
515,341,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
516,343,Worst customer service.,0
517,345,Reception is terrible and full of static.,0
518,349,Were JERKS on the phone.,0
519,352,Their network coverage in Los Angeles is horrible.,0
520,353,Excellent starter wireless headset.,0
521,355,The only thing that I think could improve is the sound leaks out from the headset.,0
522,357,The phone gets EXTREMELY HOT!,0
523,365,Waste of money.,0
524,372,The worst phone I've ever had.... Only had it for a few months.,0
525,373,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
526,374,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
527,376,This is a VERY average phone with bad battery life that operates on a weak network.,0
528,378,Soyo technology sucks.,0
529,381,Same problem as others have mentioned.,0
530,384,The worst piece of crap ever along with the Verizon customer service.,0
531,385,Poor sound quality.,0
532,390,The picture resolution is far below what other comparably-priced phones are offering today.,0
533,398,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
534,399,what a disappointment,0
535,403,don't waste your money and time.,0
536,408,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
537,409,I'll be looking for a new earpiece.,0
538,412,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
539,413,After a year the battery went completely dead on my headset.,0
540,416,This is the first phone I've had that has been so cheaply made.,0
541,418,The plastic breaks really easy on this clip.,0
542,420,Don't make the same mistake I did.,0
543,421,Oh and I forgot to also mention the weird color effect it has on your phone.,0
544,423,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
545,431,Low Quality.,0
546,434,Warning - Stay away.,0
547,435,I wish I could return the unit and get back my money.,0
548,437,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
549,439,Very Displeased.,0
550,441,They made this case too small and is very difficult to install.,0
551,445,Does not fit.,0
552,448,There's really nothing bad I can say about this headset.,0
553,452,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
554,453,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
555,454,Not good when wearing a hat or sunglasses.,0
556,458,Horrible phone.,0
557,459,BT50 battery junk!.,0
558,461,Cant get the software to work with my computer.,0
559,462,Disappointed!.,0
560,463,poor voice clarity.,0
561,465,No buyers remorse on this one!.,0
562,466,Very disappointed in AccessoryOne.,0
563,467,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
564,470,The update procedure is difficult and cumbersome.,0
565,471,Disappointment.. I hate anything that goes in my ear.,0
566,476,The volume switch rocketed out of the unit to a destination unknown.,0
567,478,I'd like to return it.,0
568,484,A Disappointment.,0
569,485,Its not user friendly.,0
570,486,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
571,488,This results in the phone being either stuck at max volume or mute.,0
572,493,Pretty piece of junk.,0
573,494,Plug was the wrong size.,0
574,496,Save your money.... I've had this item for 11 months now.,0
575,497,Bad Purchase.,0
576,501,Defective crap.,0
577,502,I would have given no star if I was able.,0
578,505,I would not recommend this item to anyone.,0
579,506,The holster that arrived did not match the photo in the ad.,0
580,510,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0
581,518,I am not impressed with this and i would not recommend this item to anyone.,0
582,519,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
583,524,REALLY UGLY.,0
584,527,No real improvement.,0
585,530,They refuse to refund or replace.,0
586,531,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
587,532,So I basically threw my money out the window for nothing.,0
588,534,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0
589,538,none of the new ones have ever quite worked properly.,0
590,540,I've missed numerous calls because of this reason.,0
591,542,Don't buy this product.,0
592,545,Worst software ever used.... If I could give this zero stars I would.,0
593,546,Trying to make a call on these is an exercise in frustration.,0
594,547,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0
595,554,It's AGGRAVATING!,0
596,560,Please dont waste your money.,0
597,563,Yet Plantronincs continues to use the same flawed charger design.,0
598,564,Disapointing Results.,0
599,565,Cumbersome design.,0
600,568,It's A PIECE OF CRAP!,0
601,571,Worst ever.,0
602,574,"I can barely ever hear on it and am constantly saying ""what?""",0
603,575,The battery life is highly unacceptable.,0
604,576,That company is a joke.,0
605,578,Due to this happening on every call I was forced to stop using this headset.,0
606,586,Also difficult to put on.I'd recommend avoiding this product.,0
607,588,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
608,589,Sprint - terrible customer service.,0
609,595,Piece of trash.,0
610,603,Poor Construction.,0
611,604,This is infuriating.,0
612,606,Sprint charges for this service.,0
613,609,It doesn't work in Europe or Asia.,0
614,613,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
615,614,the charger worked for about a week and then completely stopped charging my phone.,0
616,615,Poor product.,0
617,616,However I needed some better instructions.,0
